text,category
newly married couple looking for a small place close to Kandy,house-rental
need painter for flat,painter
paint is damp-stained on the ceiling need repainting,painter
need internet installed in new house Maharagama,internet-setup
place is covered in dust need thorough cleaning,cleaner
need deep cleaning service for annex,cleaner
place is dusty need thorough cleaning,cleaner
small room for rent single person Negombo,house-rental
house for rent close to school in Galle,house-rental
student looking for a room to rent Kotte,house-rental
need to find a place to stay in Kandy,house-rental
any 3br house available for rent in Colombo,house-rental
paint is faded on the ceiling need repainting,painter
need plumber to install new tap in the ceiling,plumber
need polish and varnish work on window frames,carpenter
searching for room rental in Moratuwa,house-rental
need licensed plumber for a leaking pipe,plumber
looking for house cleaner in Wattala,cleaner
need new fibre connection the city center,internet-setup
need polish and varnish work on new light points,carpenter
video calls dropping every few minutes need better internet setup,internet-setup
need movers to shift house from town to Negombo,movers
need a house for rent near the city center,house-rental
interior wall painting needed Kotte,painter
need a house for rent near Colombo,house-rental
deposit and monthly rent for studio in Moratuwa,house-rental
need touch up painting for villa,painter
pipe burst in the roof need urgent plumber,plumber
need someone to fix a wardrobe door that won't shut,plumber
need custom made an inverter for the new house,carpenter
need certified electrician for a broken flush tank,electrician
need window cleaning service Negombo,cleaner
need a house for rent near Rajagiriya,house-rental
house shifting service Colombo 5,movers
furniture repair extra sockets,carpenter
interior wall painting needed Galle,painter
need custom made window frames for the new house,carpenter
need someone to check faulty wiring,electrician
house for rent close to school in Moratuwa,house-rental
my zoom calls keep buffering constantly think the connection speed is bad,internet-setup
need movers to shift house from Mount Lavinia to Dehiwala,movers
no electricity in the kitchen need help,electrician
need plumber to install new tap in the garden tap,plumber
need help setting up home network,internet-setup
the carpet is covered in dust need it cleaned,cleaner
looking for isp technician Moratuwa,internet-setup
need carpenter for termite damage on the cupboard,carpenter
need a tenancy agreement for a apartment in Dehiwala,house-rental
need someone to fix an MCB that keeps tripping,plumber
need carpenter for the aircon plug sparking,carpenter
want to rent an apartment in town budget rs 100000,house-rental
need transport for moving to Negombo,movers
looking for electrical repair service,electrician
wall painting service needed the city center,painter
looking for painting service Kandy,painter
relocating for work need a studio in Colombo 3,house-rental
searching for apartment rental in Maharagama,house-rental
need wifi extender installed for the whole house,internet-setup
need someone to install a TV unit,carpenter
need accommodation in the city center for a family,house-rental
want to rent an apartment in Rajagiriya budget rs 120000,house-rental
need eco friendly cleaning service Mount Lavinia,cleaner
need painter for studio,painter
need a villa in Colombo 5,house-rental
need transport for moving to Rajagiriya,movers
looking for painting service Wattala,painter
need cleaning service before moving out Colombo 3,cleaner
need someone to fix a broken drawer,carpenter
looking for someone to install new light points,electrician
looking for painting service Nugegoda,painter
moving to Colombo 7 soon need a moving truck,movers
need licensed plumber for a running toilet,plumber
need someone to check a burnt socket,electrician
place is stained need thorough cleaning,cleaner
need certified electrician for a leaking geyser,electrician
need touch up painting for boarding place,painter
