session_id,category
1,carpenter
1,internet-setup
1,cleaner
1,movers
2,carpenter
2,painter
2,cleaner
2,electrician
3,carpenter
3,house-rental
3,cleaner
3,movers
4,carpenter
5,cleaner
6,house-rental
6,plumber
6,electrician
6,movers
7,cleaner
7,house-rental
7,electrician
7,movers
8,cleaner
8,house-rental
8,electrician
8,internet-setup
9,cleaner
9,movers
10,house-rental
10,plumber
10,electrician
10,movers
11,painter
12,painter
12,house-rental
12,cleaner
12,movers
13,cleaner
13,house-rental
13,electrician
13,internet-setup
14,house-rental
14,electrician
15,electrician
16,internet-setup
16,house-rental
16,painter
16,cleaner
17,internet-setup
18,house-rental
18,cleaner
19,cleaner
19,movers
20,carpenter
20,internet-setup
20,cleaner
20,movers
21,house-rental
21,cleaner
21,movers
22,plumber
23,cleaner
23,house-rental
23,plumber
23,electrician
24,house-rental
24,plumber
24,electrician
24,movers
25,internet-setup
25,house-rental
25,plumber
25,cleaner
26,painter
27,carpenter
27,electrician
28,electrician
29,house-rental
29,cleaner
29,movers
30,internet-setup
30,house-rental
30,plumber
30,movers
31,carpenter
31,electrician
32,carpenter
32,internet-setup
32,painter
32,electrician
33,carpenter
33,painter
34,cleaner
34,movers
35,house-rental
35,painter
35,movers
36,carpenter
36,internet-setup
36,cleaner
36,movers
37,internet-setup
38,plumber
38,cleaner
38,movers
39,carpenter
40,carpenter
40,painter
40,electrician
41,electrician
42,electrician
42,movers
43,carpenter
43,cleaner
43,movers
44,carpenter
44,painter
44,electrician
45,plumber
45,electrician
46,house-rental
46,cleaner
46,movers
47,house-rental
47,plumber
47,electrician
47,movers
48,carpenter
48,plumber
48,painter
49,house-rental
49,cleaner
50,plumber
51,internet-setup
52,house-rental
52,plumber
52,electrician
52,movers
53,carpenter
53,plumber
53,electrician
54,electrician
54,movers
55,electrician
55,movers
56,cleaner
56,plumber
56,electrician
56,movers
57,internet-setup
57,cleaner
57,movers
58,carpenter
58,plumber
58,painter
58,electrician
59,carpenter
59,plumber
60,carpenter
60,movers
61,internet-setup
61,house-rental
61,plumber
61,electrician
62,cleaner
62,movers
63,cleaner
64,carpenter
65,internet-setup
65,house-rental
65,plumber
65,movers
66,carpenter
66,cleaner
66,painter
67,house-rental
67,plumber
68,plumber
69,painter
69,house-rental
69,plumber
69,electrician
70,house-rental
70,plumber
70,electrician
70,movers
71,plumber
71,electrician
72,carpenter
72,plumber
72,electrician
73,house-rental
73,plumber
73,cleaner
74,carpenter
74,painter
75,house-rental
75,plumber
75,electrician
75,movers
76,plumber
77,internet-setup
78,carpenter
78,plumber
78,electrician
79,carpenter
79,painter
79,plumber
79,electrician
80,painter
81,carpenter
81,movers
82,carpenter
82,electrician
83,plumber
84,internet-setup
85,house-rental
85,cleaner
85,movers
86,plumber
87,plumber
87,electrician
88,plumber
88,electrician
89,house-rental
89,movers
90,plumber
91,carpenter
91,painter
92,painter
93,painter
93,cleaner
93,movers
94,carpenter
94,cleaner
95,internet-setup
95,cleaner
95,movers
96,carpenter
96,electrician
97,house-rental
97,cleaner
98,movers
99,cleaner
99,movers
100,carpenter
100,painter
101,carpenter
101,painter
102,plumber
102,cleaner
103,cleaner
103,house-rental
103,electrician
103,internet-setup
104,house-rental
104,plumber
104,cleaner
104,movers
105,internet-setup
105,movers
106,plumber
106,electrician
107,cleaner
108,internet-setup
108,house-rental
108,cleaner
108,movers
109,internet-setup
109,plumber
109,electrician
110,house-rental
110,plumber
110,electrician
110,movers
111,carpenter
111,house-rental
111,cleaner
111,movers
112,carpenter
112,plumber
112,electrician
113,carpenter
113,plumber
114,painter
114,cleaner
115,electrician
116,plumber
116,electrician
117,house-rental
117,plumber
117,movers
118,cleaner
119,carpenter
119,painter
120,house-rental
120,electrician
120,cleaner
120,movers
121,carpenter
121,plumber
122,house-rental
122,electrician
123,plumber
124,internet-setup
124,house-rental
124,cleaner
124,movers
125,cleaner
125,house-rental
125,plumber
125,electrician
126,cleaner
126,electrician
127,house-rental
127,plumber
127,cleaner
128,house-rental
128,plumber
128,cleaner
128,movers
129,plumber
129,electrician
130,carpenter
130,plumber
131,plumber
132,cleaner
132,plumber
132,electrician
133,carpenter
134,carpenter
134,painter
134,electrician
135,house-rental
135,plumber
135,electrician
